".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"b001_0_0_base",0,3901,Inf,0,0,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b002_0.05_0_base",0,3901,Inf,0.05,0.05,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b003_0.1_0_base",0,3901,Inf,0.1,0.1,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b004_0.15_0_base",0,3901,Inf,0.15,0.15,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b005_0.2_0_base",0,3901,Inf,0.2,0.2,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b006_0.25_0_base",0,3901,Inf,0.25,0.25,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b007_0.3_0_base",0,3901,Inf,0.3,0.3,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b008_0.35_0_base",0,3901,Inf,0.35,0.35,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b009_0.4_0_base",0,3901,Inf,0.4,0.4,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b010_0.45_0_base",0,3901,Inf,0.45,0.45,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b011_0.5_0_base",0,3901,Inf,0.5,0.5,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b012_0.55_0_base",0,3901,Inf,0.55,0.55,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b013_0.6_0_base",0,3901,Inf,0.6,0.6,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b014_0.65_0_base",0,3901,Inf,0.65,0.65,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b015_0.7_0_base",0,3901,Inf,0.7,0.7,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b016_0.75_0_base",0,3901,Inf,0.75,0.75,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b017_0.8_0_base",0,3901,Inf,0.8,0.8,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b018_0.85_0_base",0,3901,Inf,0.85,0.85,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b019_0.9_0_base",0,3901,Inf,0.9,0.9,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b020_0.95_0_base",0,3901,Inf,0.95,0.95,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b021_1_0_base",0,3901,Inf,1,1,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b022_0_0.05_base",0,3901,Inf,0,0,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b023_0.05_0.05_base",0,3901,Inf,0.05,0.05,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b024_0.1_0.05_base",0,3901,Inf,0.1,0.1,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b025_0.15_0.05_base",0,3901,Inf,0.15,0.15,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b026_0.2_0.05_base",0,3901,Inf,0.2,0.2,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b027_0.25_0.05_base",0,3901,Inf,0.25,0.25,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b028_0.3_0.05_base",0,3901,Inf,0.3,0.3,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"b029_0.35_0.05_base",0,3901,Inf,0.35,0.35,0.05,0.05,0.05,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
