".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"c114_0.571_0.5_base",3901,Inf,3901,0.571,0.571,0.5,0.5,0.5,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c115_0.643_0.5_base",3901,Inf,3901,0.643,0.643,0.5,0.5,0.5,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c116_0.714_0.5_base",3901,Inf,3901,0.714,0.714,0.5,0.5,0.5,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c117_0.786_0.5_base",3901,Inf,3901,0.786,0.786,0.5,0.5,0.5,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c118_0.857_0.5_base",3901,Inf,3901,0.857,0.857,0.5,0.5,0.5,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c119_0.929_0.5_base",3901,Inf,3901,0.929,0.929,0.5,0.5,0.5,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c120_1_0.5_base",3901,Inf,3901,1,1,0.5,0.5,0.5,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c121_0_0.571_base",3901,Inf,3901,0,0,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c122_0.071_0.571_base",3901,Inf,3901,0.071,0.071,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c123_0.143_0.571_base",3901,Inf,3901,0.143,0.143,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c124_0.214_0.571_base",3901,Inf,3901,0.214,0.214,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c125_0.286_0.571_base",3901,Inf,3901,0.286,0.286,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c126_0.357_0.571_base",3901,Inf,3901,0.357,0.357,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c127_0.429_0.571_base",3901,Inf,3901,0.429,0.429,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c128_0.5_0.571_base",3901,Inf,3901,0.5,0.5,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c129_0.571_0.571_base",3901,Inf,3901,0.571,0.571,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c130_0.643_0.571_base",3901,Inf,3901,0.643,0.643,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c131_0.714_0.571_base",3901,Inf,3901,0.714,0.714,0.571,0.571,0.571,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
