".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"c001_0_0_max",0,Inf,3901,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c002_0.067_0_max",0,Inf,3901,0.067,0.067,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c003_0.133_0_max",0,Inf,3901,0.133,0.133,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c004_0.2_0_max",0,Inf,3901,0.2,0.2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c005_0.267_0_max",0,Inf,3901,0.267,0.267,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c006_0.333_0_max",0,Inf,3901,0.333,0.333,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c007_0.4_0_max",0,Inf,3901,0.4,0.4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c008_0.467_0_max",0,Inf,3901,0.467,0.467,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c009_0.533_0_max",0,Inf,3901,0.533,0.533,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c010_0.6_0_max",0,Inf,3901,0.6,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c011_0.667_0_max",0,Inf,3901,0.667,0.667,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c012_0.733_0_max",0,Inf,3901,0.733,0.733,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c013_0.8_0_max",0,Inf,3901,0.8,0.8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c014_0.867_0_max",0,Inf,3901,0.867,0.867,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c015_0.933_0_max",0,Inf,3901,0.933,0.933,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c016_1_0_max",0,Inf,3901,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"c017_0_0.067_max",0,Inf,3901,0,0,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c018_0.067_0.067_max",0,Inf,3901,0.067,0.067,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c019_0.133_0.067_max",0,Inf,3901,0.133,0.133,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c020_0.2_0.067_max",0,Inf,3901,0.2,0.2,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c021_0.267_0.067_max",0,Inf,3901,0.267,0.267,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c022_0.333_0.067_max",0,Inf,3901,0.333,0.333,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c023_0.4_0.067_max",0,Inf,3901,0.4,0.4,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c024_0.467_0.067_max",0,Inf,3901,0.467,0.467,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c025_0.533_0.067_max",0,Inf,3901,0.533,0.533,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c026_0.6_0.067_max",0,Inf,3901,0.6,0.6,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c027_0.667_0.067_max",0,Inf,3901,0.667,0.667,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c028_0.733_0.067_max",0,Inf,3901,0.733,0.733,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c029_0.8_0.067_max",0,Inf,3901,0.8,0.8,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c030_0.867_0.067_max",0,Inf,3901,0.867,0.867,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c031_0.933_0.067_max",0,Inf,3901,0.933,0.933,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c032_1_0.067_max",0,Inf,3901,1,1,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1
"c033_0_0.133_max",0,Inf,3901,0,0,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c034_0.067_0.133_max",0,Inf,3901,0.067,0.067,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c035_0.133_0.133_max",0,Inf,3901,0.133,0.133,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c036_0.2_0.133_max",0,Inf,3901,0.2,0.2,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c037_0.267_0.133_max",0,Inf,3901,0.267,0.267,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c038_0.333_0.133_max",0,Inf,3901,0.333,0.333,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c039_0.4_0.133_max",0,Inf,3901,0.4,0.4,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c040_0.467_0.133_max",0,Inf,3901,0.467,0.467,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c041_0.533_0.133_max",0,Inf,3901,0.533,0.533,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c042_0.6_0.133_max",0,Inf,3901,0.6,0.6,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c043_0.667_0.133_max",0,Inf,3901,0.667,0.667,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c044_0.733_0.133_max",0,Inf,3901,0.733,0.733,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c045_0.8_0.133_max",0,Inf,3901,0.8,0.8,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c046_0.867_0.133_max",0,Inf,3901,0.867,0.867,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c047_0.933_0.133_max",0,Inf,3901,0.933,0.933,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c048_1_0.133_max",0,Inf,3901,1,1,0.133,0.133,0.133,1,1,1,1,1,1,1,1,1,1,1,1
"c049_0_0.2_max",0,Inf,3901,0,0,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
"c050_0.067_0.2_max",0,Inf,3901,0.067,0.067,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
"c051_0.133_0.2_max",0,Inf,3901,0.133,0.133,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
"c052_0.2_0.2_max",0,Inf,3901,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
"c053_0.267_0.2_max",0,Inf,3901,0.267,0.267,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
"c054_0.333_0.2_max",0,Inf,3901,0.333,0.333,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
"c055_0.4_0.2_max",0,Inf,3901,0.4,0.4,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
