.scenario.id,.at,prevpos.retest.start,second.genps.start,part.index.prob,part.ppindex.prob,part.ident.main.prob,part.ident.casl.prob,part.ident.ooff.prob,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.tx.init.rate_1,part.tx.init.rate_2,part.tx.init.rate_3,part.tx.reinit.rate_1,part.tx.reinit.rate_2,part.tx.reinit.rate_3
0base,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
1indexintprob70,1,inf,inf,0.7,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
2indexintprob80,1,inf,inf,0.8,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
3indexintprob90,1,inf,inf,0.9,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
4indexintprob100,1,inf,inf,1,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
5partidentprob11,1,inf,inf,0.666,0.64,0.1727,0.09451103,0.04959936,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
6partidentprob15,1,inf,inf,0.666,0.64,0.2355,0.1334656,0.07150448,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
7partidentprob100,1,inf,inf,0.666,0.64,1,1,1,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
8parthivscrnprob11,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.4169713,0.4169713,0.4169713,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
9parthivscrnprob15,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.4937343,0.4937343,0.4937343,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
10parthivscrnprob20,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.5652798,0.5652798,0.5652798,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
11parthivscrnprob100,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,1,1,1,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
12partprepstartprob10,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.1,0.1,0.1,0.387,0.387,0.387,0.5,0.5,0.5
13partprepstartprob25,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.25,0.25,0.25,0.387,0.387,0.387,0.5,0.5,0.5
14partprepstartprob50,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
15partprepstartprob75,2,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.75,0.75,0.75,0.387,0.387,0.387,0.5,0.5,0.5
16partprepstartprob100,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0.5,0.5,0.5
17partartstartprob11,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.4098392,0.4098392,0.4098392,0.5,0.5,0.5
18partartstartprob15,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.4863846,0.4863846,0.4863846,0.5,0.5,0.5
19partartstartprob100,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5
20partartreinitprob10,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.1,0.1,0.1
21partartreinitprob25,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.25,0.25,0.25
22partartreinitprob50,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
23partartreinitprob75,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.75,0.75,0.75
24partartreinitprob100,1,inf,inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,1,1,1
