.scenario.id,.at,prevpos.retest.start,second.genps.start,part.index.prob,part.ppindex.prob,part.ident.main.prob,part.ident.casl.prob,part.ident.ooff.prob,part.hiv.test.rate_1,part.hiv.test.rate_2,part.hiv.test.rate_3,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.tx.init.rate_1,part.tx.init.rate_2,part.tx.init.rate_3,part.tx.reinit.rate_1,part.tx.reinit.rate_2,part.tx.reinit.rate_3
c001base,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c002indexinitpsprob70,0,Inf,3901,0.7,0.7,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c003indexinitpsprob80,0,Inf,3901,0.8,0.8,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c004indexinitpsprob90,0,Inf,3901,0.9,0.9,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c005indexinitpsprob100,0,Inf,3901,1,1,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c006partidentprob11,0,Inf,3901,0.666,0.64,0.1727,0.09451103,0.04959936,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c007partidentprob15,0,Inf,3901,0.666,0.64,0.2355,0.1334656,0.07150448,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c008partidentprob100,0,Inf,3901,0.666,0.64,1,1,1,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c009parthivscrnprob11,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.4338,0.4338,0.4338,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c010arthivscrnprob15,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.591,0.591,0.591,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c011parthivscrnprob20,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.788,0.788,0.788,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c012parthivscrnprob100,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,1,1,1,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c013partprepstartprob10,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.1,0.1,0.1,0.387,0.387,0.387,0.5,0.5,0.5
c014partprepstartprob25,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.25,0.25,0.25,0.387,0.387,0.387,0.5,0.5,0.5
c015partprepstartprob50,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c016partprepstartprob75,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.75,0.75,0.75,0.387,0.387,0.387,0.5,0.5,0.5
c017partprepstartprob100,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0.5,0.5,0.5
c018partartstartprob11,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.4257,0.4257,0.4257,0.5,0.5,0.5
c019partartstartprob15,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.5805,0.5805,0.5805,0.5,0.5,0.5
c020partartstartprob100,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5
c021partartreinitprob10,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.1,0.1,0.1
c022partartreinitprob25,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.25,0.25,0.25
c023partartreinitprob50,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
c024partartreinitprob75,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.75,0.75,0.75
c025partartreinitprob100,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,1,1,1
d001base,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d002indexinitpsprob70,0,3901,3901,0.7,0.7,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d003indexinitpsprob80,0,3901,3901,0.8,0.8,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d004indexinitpsprob90,0,3901,3901,0.9,0.9,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d005indexinitpsprob100,0,3901,3901,1,1,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d006partidentprob11,0,3901,3901,0.666,0.64,0.1727,0.09451103,0.04959936,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d007partidentprob15,0,3901,3901,0.666,0.64,0.2355,0.1334656,0.07150448,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d008partidentprob100,0,3901,3901,0.666,0.64,1,1,1,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d009parthivscrnprob11,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.4338,0.4338,0.4338,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d010arthivscrnprob15,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.591,0.591,0.591,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d011parthivscrnprob20,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.788,0.788,0.788,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d012parthivscrnprob100,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,1,1,1,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d013partprepstartprob10,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.1,0.1,0.1,0.387,0.387,0.387,0.5,0.5,0.5
d014partprepstartprob25,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.25,0.25,0.25,0.387,0.387,0.387,0.5,0.5,0.5
d015partprepstartprob50,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d016partprepstartprob75,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.75,0.75,0.75,0.387,0.387,0.387,0.5,0.5,0.5
d017partprepstartprob100,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0.5,0.5,0.5
d018partartstartprob11,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.4257,0.4257,0.4257,0.5,0.5,0.5
d019partartstartprob15,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.5805,0.5805,0.5805,0.5,0.5,0.5
d020partartstartprob100,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5
d021partartreinitprob10,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.1,0.1,0.1
d022partartreinitprob25,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.25,0.25,0.25
d023partartreinitprob50,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.5,0.5,0.5
d024partartreinitprob75,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0.75,0.75,0.75
d025partartreinitprob100,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,1,1,1
