.scenario.id,.at,prevpos.retest.start,second.genps.start,part.index.prob,part.ppindex.prob,part.ident.main.prob,part.ident.casl.prob,part.ident.ooff.prob,part.hiv.test.rate_1,part.hiv.test.rate_2,part.hiv.test.rate_3,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.tx.init.rate_1,part.tx.init.rate_2,part.tx.init.rate_3,part.tx.reinit.rate_1,part.tx.reinit.rate_2,part.tx.reinit.rate_3
b001base,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b002indexinitpsprob70,3901,3901,Inf,0.7,0.7,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b003indexinitpsprob80,3901,3901,Inf,0.8,0.8,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b004indexinitpsprob90,3901,3901,Inf,0.9,0.9,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b005indexinitpsprob100,3901,3901,Inf,1,1,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b006partidentprob11,3901,3901,Inf,0.666,0.64,0.1727,0.09451103,0.04959936,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b007partidentprob15,3901,3901,Inf,0.666,0.64,0.2355,0.1334656,0.07150448,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b008partidentprob100,3901,3901,Inf,0.666,0.64,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b009parthivscrnprob11,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.4338,0.4338,0.4338,0,0,0,0.387,0.387,0.387,0,0,0
b010arthivscrnprob15,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.591,0.591,0.591,0,0,0,0.387,0.387,0.387,0,0,0
b011parthivscrnprob20,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.788,0.788,0.788,0,0,0,0.387,0.387,0.387,0,0,0
b012parthivscrnprob100,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
b013partprepstartprob10,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.1,0.1,0.1,0.387,0.387,0.387,0,0,0
b014partprepstartprob25,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.25,0.25,0.25,0.387,0.387,0.387,0,0,0
b015partprepstartprob50,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0,0,0
b016partprepstartprob75,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.75,0.75,0.75,0.387,0.387,0.387,0,0,0
b017partprepstartprob100,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
b018partartstartprob11,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.4257,0.4257,0.4257,0,0,0
b019partartstartprob15,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.5805,0.5805,0.5805,0,0,0
b020partartstartprob100,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,1,1,1,0,0,0
b021partartreinitprob10,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.1,0.1,0.1
b022partartreinitprob25,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.25,0.25,0.25
b023partartreinitprob50,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.5,0.5,0.5
b024partartreinitprob75,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.75,0.75,0.75
b025partartreinitprob100,3901,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,1,1,1
