.scenario.id,.at,prevpos.retest.start,second.genps.start,part.index.prob,part.ppindex.prob,part.ident.main.prob,part.ident.casl.prob,part.ident.ooff.prob,part.hiv.test.rate_1,part.hiv.test.rate_2,part.hiv.test.rate_3,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.tx.init.rate_1,part.tx.init.rate_2,part.tx.init.rate_3,part.tx.reinit.rate_1,part.tx.reinit.rate_2,part.tx.reinit.rate_3
c001base,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c002indexinitpsprob70,0,Inf,3901,0.7,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c003indexinitpsprob80,0,Inf,3901,0.8,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c004indexinitpsprob90,0,Inf,3901,0.9,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c005indexinitpsprob100,0,Inf,3901,1,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c006partidentprob11,0,Inf,3901,0.666,0,0.1727,0.09451103,0.04959936,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c007partidentprob15,0,Inf,3901,0.666,0,0.2355,0.1334656,0.07150448,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c008partidentprob100,0,Inf,3901,0.666,0,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c009parthivscrnprob11,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.4338,0.4338,0.4338,0,0,0,0.387,0.387,0.387,0,0,0
c010arthivscrnprob15,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.591,0.591,0.591,0,0,0,0.387,0.387,0.387,0,0,0
c011parthivscrnprob20,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.788,0.788,0.788,0,0,0,0.387,0.387,0.387,0,0,0
c012parthivscrnprob100,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
c013partprepstartprob10,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.1,0.1,0.1,0.387,0.387,0.387,0,0,0
c014partprepstartprob25,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.25,0.25,0.25,0.387,0.387,0.387,0,0,0
c015partprepstartprob50,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0,0,0
c016partprepstartprob75,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.75,0.75,0.75,0.387,0.387,0.387,0,0,0
c017partprepstartprob100,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
c018partartstartprob11,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.4257,0.4257,0.4257,0,0,0
c019partartstartprob15,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.5805,0.5805,0.5805,0,0,0
c020partartstartprob100,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,1,1,1,0,0,0
c021partartreinitprob10,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.1,0.1,0.1
c022partartreinitprob25,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.25,0.25,0.25
c023partartreinitprob50,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.5,0.5,0.5
c024partartreinitprob75,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.75,0.75,0.75
c025partartreinitprob100,0,Inf,3901,0.666,0,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,1,1,1
