.scenario.id,.at,prevpos.retest.start,second.genps.start,part.index.prob,part.ppindex.prob,part.ident.main.prob,part.ident.casl.prob,part.ident.ooff.prob,part.hiv.test.rate_1,part.hiv.test.rate_2,part.hiv.test.rate_3,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.tx.init.rate_1,part.tx.init.rate_2,part.tx.init.rate_3,part.tx.reinit.rate_1,part.tx.reinit.rate_2,part.tx.reinit.rate_3
d001base,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d002indexinitpsprob70,3901,3901,3901,0.7,0.7,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d003indexinitpsprob80,3901,3901,3901,0.8,0.8,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d004indexinitpsprob90,3901,3901,3901,0.9,0.9,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d005indexinitpsprob100,3901,3901,3901,1,1,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d006partidentprob11,3901,3901,3901,0.666,0.64,0.1727,0.09451103,0.04959936,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d007partidentprob15,3901,3901,3901,0.666,0.64,0.2355,0.1334656,0.07150448,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d008partidentprob100,3901,3901,3901,0.666,0.64,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d009parthivscrnprob11,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.4338,0.4338,0.4338,0,0,0,0.387,0.387,0.387,0,0,0
d010arthivscrnprob15,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.591,0.591,0.591,0,0,0,0.387,0.387,0.387,0,0,0
d011parthivscrnprob20,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.788,0.788,0.788,0,0,0,0.387,0.387,0.387,0,0,0
d012parthivscrnprob100,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
d013partprepstartprob10,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.1,0.1,0.1,0.387,0.387,0.387,0,0,0
d014partprepstartprob25,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.25,0.25,0.25,0.387,0.387,0.387,0,0,0
d015partprepstartprob50,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.5,0.5,0.5,0.387,0.387,0.387,0,0,0
d016partprepstartprob75,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0.75,0.75,0.75,0.387,0.387,0.387,0,0,0
d017partprepstartprob100,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
d018partartstartprob11,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.4257,0.4257,0.4257,0,0,0
d019partartstartprob15,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.5805,0.5805,0.5805,0,0,0
d020partartstartprob100,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,1,1,1,0,0,0
d021partartreinitprob10,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.1,0.1,0.1
d022partartreinitprob25,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.25,0.25,0.25
d023partartreinitprob50,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.5,0.5,0.5
d024partartreinitprob75,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0.75,0.75,0.75
d025partartreinitprob100,3901,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,1,1,1
